QueryId,DocumentId
int-5,B2-213
int-5,B1-970
int-5,A1-1145
int-5,C1-750
int-5,C1-773
int-5,B2-7
int-5,C2-1298
int-5,B2-225
int-5,C1-694
int-5,B1-817
int-5,B2-46
int-5,A2-418
int-5,A1-1195
int-5,B2-273
int-5,C2-1318
int-5,A2-321
int-5,C2-1352
int-5,A2-310
int-5,B1-844
int-5,A2-494
int-5,B1-855
int-5,B1-835
int-5,C1-620
int-5,B1-852
int-5,A1-1054
int-5,A2-419
int-5,C1-582
int-5,C1-733
int-5,B2-33
int-5,B1-821
int-5,C2-1491
int-5,B1-865
int-5,A1-1266
int-5,A1-1156
int-5,B2-154
int-5,A2-517
int-5,A2-467
int-5,A1-1254
int-5,B2-168
int-5,A1-1232
int-5,A2-535
int-5,C1-779
int-5,A2-533
int-5,A2-329
int-5,A1-1282
int-5,A2-355
int-5,B2-233
int-5,A2-493
int-5,A2-390
int-6,A1-1097
int-6,B2-162
int-6,A2-334
int-6,C1-605
int-6,A2-443
int-6,C2-1466
int-6,A2-290
int-6,B1-882
int-6,A2-303
int-6,A2-388
int-6,B2-23
int-6,C1-704
int-6,B2-167
int-6,A2-320
int-6,B2-134
int-6,B1-865
int-6,A2-358
int-6,B1-954
int-6,B2-251
int-6,A1-1092
int-6,A1-1150
int-6,B1-881
int-6,B2-13
int-6,B2-188
int-6,A2-369
int-6,B1-930
int-6,A1-1016
int-6,A1-1186
int-6,A2-470
int-6,A1-1201
int-6,A2-438
int-6,A2-371
int-6,B2-21
int-6,C1-606
int-6,B2-76
int-6,B1-842
int-6,B2-52
int-6,A2-548
int-6,A2-364
int-6,A2-547
int-6,A2-414
int-6,C1-691
int-6,A2-312
int-6,B2-125
int-6,B1-997
int-6,B2-226
int-6,B1-924
int-6,B2-31
int-6,B1-857
int-6,C1-580
int-6,B2-32
int-6,A2-475
int-6,B2-78
int-6,A1-1028
int-6,A2-331
int-6,A1-1175
int-6,A1-1102
int-6,C1-588
int-6,A1-1014
int-6,A1-1263
int-6,A1-1026
int-6,B1-895
int-6,A2-375
int-6,A2-404
int-6,B2-83
int-6,A1-1040
int-6,B2-1
int-6,C1-728
int-6,B2-79
int-6,B2-146
int-6,C1-644
int-6,B2-259
int-6,B2-238
int-6,B2-35
int-6,B2-175
int-6,B2-104
int-6,A2-360
int-6,B1-801
int-6,B1-802
int-6,A2-297
int-6,C2-1331
int-6,B1-914
int-6,C1-768
int-6,B1-973
int-6,B1-923
int-6,B1-859
int-6,B1-931
int-6,B1-827
int-6,A2-366
int-6,B1-845
int-6,A2-500
int-6,A2-424
int-6,B1-820
int-6,B2-228
int-6,A2-359
int-6,A2-332
int-6,A2-461
int-6,B2-106
int-6,A2-433
int-6,A2-390
int-7,B2-18
int-7,C1-749
int-7,B2-64
int-7,B2-118
int-7,B2-282
int-7,B2-239
int-7,C1-630
int-7,B1-833
int-7,A2-307
int-7,A2-431
int-7,B2-212
int-7,B2-236
int-7,C2-1300
int-7,B1-816
int-7,B1-989
int-7,A2-361
int-7,B1-991
int-7,B2-1
int-7,B1-863
int-7,C1-633
int-7,B1-954
int-7,C1-795
int-7,B2-278
int-7,C2-1309
int-7,C2-1373
int-7,C1-605
int-7,B2-221
int-7,C1-575
int-7,C2-1460
int-7,B1-885
int-7,B1-882
int-7,C1-592
int-7,C2-1422
int-7,B2-75
int-7,C1-710
int-7,C1-716
int-7,C1-767
int-7,C1-645
int-7,B1-950
int-7,C1-751
int-7,C1-580
int-7,C1-678
int-7,B1-822
int-7,C1-648
int-7,C2-1457
int-7,C1-599
int-7,B1-811
int-7,C2-1439
int-7,A1-1063
int-7,B1-865
int-7,A1-1219
int-7,B2-213
int-7,A1-1062
int-7,A1-1250
int-7,A2-336
int-7,A2-437
int-7,C2-1454
int-7,A1-1189
int-7,A2-341
int-7,B2-257
int-7,B2-271
int-7,A2-536
int-7,C2-1369
int-7,C2-1295
int-7,B1-840
int-7,A1-1057
int-7,C2-1303
int-7,A2-439
int-7,B2-63
int-7,B1-916
int-7,A1-1223
int-7,A1-1075
int-7,A1-1143
int-7,B1-855
int-7,C2-1431
int-7,B2-130
int-7,A2-503
int-7,A1-1108
int-7,C2-1324
int-7,C1-646
int-7,B2-163
int-7,C2-1354
int-7,B2-203
int-7,C1-664
int-7,B1-880
int-7,B1-860
int-7,C1-748
int-7,A2-417
int-7,C1-655
int-7,C2-1334
int-7,C2-1476
int-7,B2-176
int-7,A1-1153
int-7,A1-1161
int-7,B2-180
int-7,A1-1232
int-7,B2-204
int-7,A1-1032
int-7,B1-968
int-7,A1-1225
int-8,A2-306
int-8,A2-405
int-8,C1-723
int-8,A2-548
int-8,C2-1353
int-8,A2-374
int-8,A2-339
int-8,B1-877
int-8,B1-946
int-8,C2-1487
int-8,A2-376
int-8,A2-353
int-8,A1-1096
int-8,C2-1371
int-8,A2-511
int-8,C1-799
int-8,A2-516
int-8,A1-1045
int-8,A1-1208
int-8,A1-1277
int-8,C2-1437
int-8,A2-337
int-8,A1-1058
int-8,B1-916
int-8,C1-577
int-8,A1-1040
int-8,A1-1026
int-8,B2-158
int-8,A1-1071
int-8,A2-308
int-8,C1-710
int-8,B2-191
int-8,B2-90
int-8,C1-750
int-8,B2-128
int-8,B1-986
int-8,B2-177
int-8,B1-926
int-8,C2-1447
int-8,B1-816
int-8,A2-402
int-8,B1-897
int-8,B1-940
int-8,B1-945
int-8,A2-360
int-8,A1-1180
int-8,C1-789
int-8,B2-130
int-8,C2-1412
int-8,C1-569
int-8,B1-822
int-8,A1-1158
int-8,B2-251
int-8,C1-611
int-8,A2-522
int-8,B1-834
int-8,C1-576
int-8,A2-423
int-8,B1-918
int-8,A2-350
int-8,A2-357
int-8,B2-95
int-8,C2-1432
int-8,C2-1310
int-8,B1-904
int-8,C1-730
int-8,B1-999
int-8,B1-800
int-8,A2-383
int-8,A2-364
int-8,B2-63
int-8,A2-499
int-8,B2-18
int-8,C1-665
int-8,B2-282
int-8,A1-1100
int-8,A2-456
int-8,B2-266
int-8,A2-411
int-8,C2-1428
int-8,A2-428
int-8,A1-1200
int-8,B2-202
int-8,C1-748
int-8,C1-698
int-8,C1-682
int-8,C2-1436
int-8,C1-694
int-8,B1-970
int-8,B2-132
int-8,B1-905
int-8,B2-169
int-8,B2-116
int-8,B2-17
int-8,C1-586
int-8,B2-249
int-8,C2-1380
int-8,B2-254
int-8,A2-532
int-8,C1-697
int-9,C2-1412
int-9,C2-1411
int-9,C2-1348
int-9,C1-770
int-9,C2-1472
int-9,B1-834
int-9,B2-196
int-9,B2-178
int-9,C2-1415
int-9,C2-1487
int-9,B2-240
int-9,C2-1316
int-9,A2-502
int-9,C2-1371
int-9,C1-792
int-9,B1-974
int-9,A1-1279
int-9,A2-397
int-9,C1-604
int-9,B1-923
int-9,C1-583
int-9,B1-896
int-9,C1-710
int-9,C1-755
int-9,B1-833
int-9,B2-139
int-9,C2-1475
int-9,B2-278
int-9,B1-908
int-9,C2-1386
int-9,B1-968
int-9,C2-1406
int-9,C1-649
int-9,B2-155
int-9,B2-72
int-9,C2-1449
int-9,B1-948
int-9,B2-42
int-9,B1-803
int-9,C1-575
int-9,B1-950
int-9,A2-345
int-9,B2-16
int-9,C2-1346
int-9,C1-693
int-9,C2-1319
int-9,C2-1362
int-9,C1-700
int-9,B2-94
int-9,C1-772
int-9,C2-1351
int-9,C2-1443
int-9,C2-1315
int-9,C1-579
int-9,C2-1296
int-9,C1-735
int-9,C1-743
int-9,B2-195
int-9,C2-1401
int-9,C1-691
int-9,B1-840
int-9,B2-88
int-9,C2-1491
int-9,B2-78
int-9,C1-616
int-9,C1-673
int-9,C1-648
int-9,C1-779
int-9,C1-632
int-9,C1-795
int-9,B2-167
int-9,C2-1310
int-9,C2-1490
int-9,B2-106
int-9,C1-614
int-9,B2-233
int-9,C2-1430
int-9,B2-241
int-9,B2-221
int-9,C2-1303
int-9,C1-775
int-9,C2-1335
int-9,C2-1347
int-9,C1-596
int-9,C1-776
int-9,C2-1376
int-9,B1-932
int-9,C2-1445
int-9,B2-117
int-9,C1-623
int-9,C2-1368
int-9,C1-645
int-9,B1-1001
int-9,C2-1382
int-9,C2-1314
int-9,C1-628
int-9,C2-1364
int-9,C1-706
int-9,C1-722
int-9,B2-123
int-10,C2-1455
int-10,B1-905
int-10,B2-142
int-10,A2-333
int-10,A2-446
int-10,B1-990
int-10,C2-1376
int-10,B2-229
int-10,C2-1302
int-10,C1-652
int-10,C1-659
